project,availability_type,exogenous_availability_scenario_id,endogenous_availability_scenario_id
Bhusawal3,binary,,1
Bhusawal4,binary,,1
Bhusawal5,binary,,1
Bhusawal6,binary,,1
Chandrapur3,binary,,1
Chandrapur4,binary,,1
Chandrapur5,binary,,1
Chandrapur6,binary,,1
Chandrapur7,binary,,1
Chandrapur8,binary,,1
Chandrapur9,binary,,1
Khaperkheda1,binary,,1
Khaperkheda2,binary,,1
Khaperkheda3,binary,,1
Khaperkheda4,binary,,1
Khaperkheda5,binary,,1
Koradi10,binary,,1
Koradi6,binary,,1
Koradi7,binary,,1
Koradi8,binary,,1
Koradi9,binary,,1
Nasik3,binary,,1
Nasik4,binary,,1
Nasik5,binary,,1
Nasik6,binary,,1
Paras3,binary,,1
Paras4,binary,,1
Parli4,binary,,1
Parli5,binary,,1
Parli6,binary,,1
Parli7,binary,,1
Parli8,binary,,1
Uran_CCGT_APMG,exogenous,,
Uran_CCGT_RLNG,binary,,1
Bhira,exogenous,,
Koyna_KDPH,exogenous,,
Koyna_Stage_1,exogenous,,
Koyna_Stage_2,exogenous,,
Koyna_Stage_3,exogenous,,
Koyna_Stage_4,exogenous,,
Tillari,exogenous,,
Bagasse,exogenous,,
SHP,exogenous,,
Gadarwara,binary,,1
Khargone,binary,,1
KhSTPSII,binary,,1
KSTPS,binary,,1
KSTPSIII,binary,,1
Lara,binary,,1
MaudaI,binary,,1
MaudaII,binary,,1
SIPAT1,binary,,1
SIPAT2,binary,,1
SolapurI,binary,,1
SolapurII,binary,,1
VSTPI,binary,,1
VSTPII,binary,,1
VSTPIII,binary,,1
VSTPIV,binary,,1
VSTPV,binary,,1
Gandhar,binary,,1
Kawas,binary,,1
Dodson_I,exogenous,,
Dodson_II,exogenous,,
Pench,exogenous,,
Sardar_Sarovar_CHPH,exogenous,,
KAPP,binary,,1
TAPP_1_2,binary,,1
TAPP_3_4,binary,,1
Adani_Stage_1_1,binary,,1
Adani_Stage_1_2,binary,,1
Adani_Stage_2_1,binary,,1
Adani_Stage_2_2,binary,,1
Adani_Stage_2_445_MW,binary,,1
Emco,binary,,1
IndiaBulls_1,binary,,1
IndiaBulls_2,binary,,1
IndiaBulls_3,binary,,1
IndiaBulls_4,binary,,1
IndiaBulls_Balance,binary,,1
JSW,binary,,1
Tata_Mundra,binary,,1
FlexibleGas,exogenous,,
Market_NonPeak,exogenous,1,
Market_Peak,exogenous,1,
Ghatghar,binary,,1
Sardar_Sarovar_RBPH_PSP,binary,,1
Solar_Existing,exogenous,,
Solar_Fixed_Tilt,exogenous,,
Solar_Single_Axis,exogenous,,
Wind_Existing,exogenous,,
Wind_New,exogenous,,
660MW_1,binary,,1
660MW_2,binary,,1
660MW_3,binary,,1
660MW_4,binary,,1
BESS_4_hr_Exo,exogenous,,
BESS_6_hr_Exo,exogenous,,
