project,availability_type,exogenous_availability_scenario_id,endogenous_availability_scenario_id
Bhusawal4,exogenous,3,
Bhusawal5,exogenous,3,
Bhusawal6,exogenous,3,
Chandrapur5,exogenous,3,
Chandrapur6,exogenous,3,
Chandrapur7,exogenous,3,
Chandrapur8,exogenous,3,
Chandrapur9,exogenous,3,
Khaperkheda3,exogenous,3,
Khaperkheda4,exogenous,3,
Khaperkheda5,exogenous,3,
Koradi10,exogenous,3,
Koradi8,exogenous,3,
Koradi9,exogenous,3,
Nasik6,exogenous,3,
Paras3,exogenous,3,
Paras4,exogenous,3,
Parli6,exogenous,3,
Parli7,exogenous,3,
Parli8,exogenous,3,
Uran_CCGT_APMG,exogenous,,
Uran_CCGT_RLNG,exogenous,3,
Bhira,exogenous,,
Koyna_KDPH,exogenous,,
Koyna_Stage_1,exogenous,,
Koyna_Stage_2,exogenous,,
Koyna_Stage_3,exogenous,,
Koyna_Stage_4,exogenous,,
Tillari,exogenous,,
Bagasse,exogenous,,
SHP,exogenous,,
Gadarwara,exogenous,3,
Khargone,exogenous,3,
KhSTPSII,exogenous,3,
KSTPS,exogenous,3,
KSTPSIII,exogenous,3,
Lara,exogenous,3,
MaudaI,exogenous,3,
MaudaII,exogenous,3,
SIPAT1,exogenous,3,
SIPAT2,exogenous,3,
SolapurI,exogenous,3,
SolapurII,exogenous,3,
VSTPI,exogenous,3,
VSTPII,exogenous,3,
VSTPIII,exogenous,3,
VSTPIV,exogenous,3,
VSTPV,exogenous,3,
Gandhar,exogenous,3,
Kawas,exogenous,3,
Dodson_I,exogenous,,
Dodson_II,exogenous,,
Pench,exogenous,,
Sardar_Sarovar_CHPH,exogenous,,
KAPP,exogenous,3,
TAPP_1_2,exogenous,3,
TAPP_3_4,exogenous,3,
Adani_Stage_1_1,exogenous,3,
Adani_Stage_1_2,exogenous,3,
Adani_Stage_2_1,exogenous,3,
Adani_Stage_2_2,exogenous,3,
Adani_Stage_2_445_MW,exogenous,3,
Emco,exogenous,3,
IndiaBulls_1,exogenous,3,
IndiaBulls_2,exogenous,3,
IndiaBulls_3,exogenous,3,
IndiaBulls_4,exogenous,3,
IndiaBulls_Balance,exogenous,3,
JSW,exogenous,3,
Tata_Mundra,exogenous,3,
Market_NonPeak,exogenous,1,
Market_Peak,exogenous,1,
Ghatghar,exogenous,3,
Sardar_Sarovar_RBPH_PSP,exogenous,3,
Solar_Existing,exogenous,,
Solar_Fixed_Tilt,exogenous,,
Solar_Single_Axis,exogenous,,
Wind_Existing,exogenous,,
Wind_New,exogenous,,
BESS_4_hr_Exo,exogenous,,
BESS_6_hr_Exo,exogenous,,
