project,availability_type,exogenous_availability_scenario_id,endogenous_availability_scenario_id
Bhusawal4,exogenous,2,
Bhusawal5,exogenous,2,
Bhusawal6,exogenous,2,
Chandrapur5,exogenous,2,
Chandrapur6,exogenous,2,
Chandrapur7,exogenous,2,
Chandrapur8,exogenous,2,
Chandrapur9,exogenous,2,
Khaperkheda1,exogenous,2,
Khaperkheda2,exogenous,2,
Khaperkheda3,exogenous,2,
Khaperkheda4,exogenous,2,
Khaperkheda5,exogenous,2,
Koradi10,exogenous,2,
Koradi6,exogenous,2,
Koradi7,exogenous,2,
Koradi8,exogenous,2,
Koradi9,exogenous,2,
Nasik6,exogenous,2,
Paras3,exogenous,2,
Paras4,exogenous,2,
Parli4,exogenous,2,
Parli5,exogenous,2,
Parli6,exogenous,2,
Parli7,exogenous,2,
Parli8,exogenous,2,
Uran_CCGT_APMG,exogenous,1,
Uran_CCGT_RLNG,exogenous,2,
Bhira,exogenous,,
Koyna_KDPH,exogenous,,
Koyna_Stage_1,exogenous,1,
Koyna_Stage_2,exogenous,1,
Koyna_Stage_3,exogenous,1,
Koyna_Stage_4,exogenous,1,
Tillari,exogenous,,
Bagasse,exogenous,,
SHP,exogenous,,
Gadarwara,exogenous,2,
Khargone,exogenous,2,
KhSTPSII,exogenous,2,
KSTPS,exogenous,2,
KSTPSIII,exogenous,2,
Lara,exogenous,2,
MaudaI,exogenous,2,
MaudaII,exogenous,2,
SIPAT1,exogenous,2,
SIPAT2,exogenous,2,
SolapurI,exogenous,2,
SolapurII,exogenous,2,
VSTPI,exogenous,2,
VSTPII,exogenous,2,
VSTPIII,exogenous,2,
VSTPIV,exogenous,2,
VSTPV,exogenous,2,
Gandhar,exogenous,2,
Kawas,exogenous,2,
Dodson_I,exogenous,1,
Dodson_II,exogenous,1,
Pench,exogenous,1,
Sardar_Sarovar_CHPH,exogenous,1,
KAPP,exogenous,2,
TAPP_1_2,exogenous,2,
TAPP_3_4,exogenous,2,
Adani_Stage_1_1,exogenous,2,
Adani_Stage_1_2,exogenous,2,
Adani_Stage_2_1,exogenous,2,
Adani_Stage_2_2,exogenous,2,
Adani_Stage_2_445_MW,exogenous,2,
Emco,exogenous,2,
IndiaBulls_1,exogenous,2,
IndiaBulls_2,exogenous,2,
IndiaBulls_3,exogenous,2,
IndiaBulls_4,exogenous,2,
IndiaBulls_Balance,exogenous,2,
JSW,exogenous,2,
Tata_Mundra,exogenous,2,
FlexibleGas,exogenous,,
Ghatghar,exogenous,2,
Sardar_Sarovar_RBPH_PSP,exogenous,2,
Solar_Existing,exogenous,,
Solar_Fixed_Tilt,exogenous,,
Solar_Single_Axis,exogenous,,
Wind_Existing,exogenous,,
Wind_New,exogenous,,
BESS_4_hr_Exo,exogenous,,
BESS_6_hr_Exo,exogenous,,
