load_zone,stage_id,timepoint,load_mw
MSEDCL,1,2030113,21899.68244
MSEDCL,1,2030114,21820.87775
MSEDCL,1,2030115,22407.95262
MSEDCL,1,2030116,23180.80318
MSEDCL,1,2030117,23905.36639
MSEDCL,1,2030118,23967.7121
MSEDCL,1,2030119,23539.42764
MSEDCL,1,2030120,24417.05486
MSEDCL,1,2030121,24719.99675
MSEDCL,1,2030122,25533.90311
MSEDCL,1,2030123,25884.45038
MSEDCL,1,2030124,26038.38196
MSEDCL,1,2030125,25923.1689
MSEDCL,1,2030126,25833.96125
MSEDCL,1,2030127,27024.72808
MSEDCL,1,2030128,27211.32991
MSEDCL,1,2030129,26756.76769
MSEDCL,1,2030130,27283.23762
MSEDCL,1,2030131,27481.95362
MSEDCL,1,2030132,27318.46678
MSEDCL,1,2030133,27206.39125
MSEDCL,1,2030134,27617.47429
MSEDCL,1,2030135,27733.5693
MSEDCL,1,2030136,27446.29855
MSEDCL,1,2030137,24022.07639
MSEDCL,1,2030138,26719.96447
MSEDCL,1,2030139,27725.05554
MSEDCL,1,2030140,27205.19778
MSEDCL,1,2030141,24823.82064
MSEDCL,1,2030142,21192.12923
MSEDCL,1,2030143,21642.73138
MSEDCL,1,2030144,22795.93377
MSEDCL,1,2030145,24065.17456
MSEDCL,1,2030146,24373.49029
MSEDCL,1,2030147,22335.3155
MSEDCL,1,2030148,22933.24274
MSEDCL,1,2030149,23500.02451
MSEDCL,1,2030150,23456.6267
MSEDCL,1,2030151,21950.31023
MSEDCL,1,2030152,22090.65481
MSEDCL,1,2030153,23108.53228
MSEDCL,1,2030154,23368.38247
MSEDCL,1,2030155,24178.88966
MSEDCL,1,2030156,24159.25679
MSEDCL,1,2030157,25270.13006
MSEDCL,1,2030158,25334.65521
MSEDCL,1,2030159,26754.79769
MSEDCL,1,2030160,27130.34278
MSEDCL,1,2030161,24739.66407
MSEDCL,1,2030162,25129.23604
MSEDCL,1,2030163,24983.25825
MSEDCL,1,2030164,25032.64188
MSEDCL,1,2030165,25340.37118
MSEDCL,1,2030166,24773.95464
MSEDCL,1,2030167,24359.72421
MSEDCL,1,2030168,23375.16968
MSEDCL,1,2030169,23749.55531
MSEDCL,1,2030170,22916.17185
MSEDCL,1,2030171,22883.50835
MSEDCL,1,2030172,23017.22091
MSEDCL,1,2030173,22160.06489
MSEDCL,1,2030174,22129.97683
MSEDCL,1,2030175,21812.12043
MSEDCL,1,2030176,23156.84118
MSEDCL,1,2030177,23386.82756
MSEDCL,1,2030178,24552.30226
MSEDCL,1,2030179,25314.79004
MSEDCL,1,2030180,25846.74228
MSEDCL,1,2030181,25860.61729
MSEDCL,1,2030182,25329.73214
MSEDCL,1,2030183,22977.20409
MSEDCL,1,2030184,24587.99663
MSEDCL,1,2030185,26030.39835
MSEDCL,1,2030186,27496.79113
MSEDCL,1,2030187,27819.43451
MSEDCL,1,2030188,27966.09218
MSEDCL,1,2030189,27334.68779
MSEDCL,1,2030190,26041.85409
MSEDCL,1,2030191,24132.02852
MSEDCL,1,2030192,23964.30337
MSEDCL,1,2030193,23910.35538
MSEDCL,1,2030194,23336.58162
MSEDCL,1,2030195,23727.36723
MSEDCL,1,2030196,23403.73484
MSEDCL,1,2030197,23789.19846
MSEDCL,1,2030198,23826.19337
MSEDCL,1,2030199,24597.40513
MSEDCL,1,2030200,24830.08817
MSEDCL,1,2030201,23874.32086
MSEDCL,1,2030202,23846.7195
MSEDCL,1,2030203,20767.17185
MSEDCL,1,2030204,21479.89569
MSEDCL,1,2030205,22794.79379
MSEDCL,1,2030206,24703.02254
MSEDCL,1,2030207,25308.46746
MSEDCL,1,2030208,25731.64573
MSEDCL,1,2030209,26026.18484
MSEDCL,1,2030210,26124.10964
MSEDCL,1,2030211,26485.22225
MSEDCL,1,2030212,26131.26641
MSEDCL,1,2030213,26366.79613
MSEDCL,1,2030214,26492.67974
MSEDCL,1,2030215,26303.44673
MSEDCL,1,2030216,26364.80248
