stage_id,timepoint,cap_factor
1,203001,0.259935571
1,203002,0.348978193
1,203003,0.531275757
1,203004,0.792817816
1,203005,0.474525543
1,203006,0.189687883
1,203007,0.081950539
1,203008,0.116771943
1,203009,0.185365614
1,203010,0.13833244
1,203011,0.1009572
1,203012,0.129953812
1,2030001,0.200789962
1,2030002,0.249261319
1,2030003,0.272396835
1,2030004,0.281076255
1,2030005,0.313128286
1,2030006,0.29216207
1,2030007,0.294495342
1,2030008,0.116696868
1,2030009,0.144501146
1,2030010,0.223996386
1,2030011,0.183486519
1,2030012,0.133284597
1,2030013,0.110563441
1,2030014,0.23262041
1,2030015,0.27135761
1,2030016,0.347085933
1,2030017,0.366363684
1,2030018,0.371036876
1,2030019,0.351626176
1,2030020,0.377996809
1,2030021,0.378014536
1,2030022,0.356722592
1,2030023,0.29298636
1,2030024,0.329126603
1,2030025,0.330668823
1,2030026,0.174135702
1,2030027,0.215875356
1,2030028,0.194683125
1,2030029,0.222835289
1,2030030,0.169092216
1,2030031,0.169406129
1,2030032,0.213960328
1,2030033,0.178601087
1,2030034,0.114400466
1,2030035,0.161854131
1,2030036,0.201589559
1,2030037,0.368316434
1,2030038,0.283184819
1,2030039,0.242106526
1,2030040,0.219772214
1,2030041,0.186843948
1,2030042,0.153404011
1,2030043,0.180639133
1,2030044,0.286274273
1,2030045,0.477170565
1,2030046,0.333352281
1,2030047,0.32430845
1,2030048,0.362679423
1,2030049,0.469791282
1,2030050,0.364199322
1,2030051,0.35821256
1,2030052,0.276189829
1,2030053,0.274243538
1,2030054,0.36569979
1,2030055,0.365722459
1,2030056,0.462107588
1,2030057,0.697376728
1,2030058,0.697795309
1,2030059,0.864941262
1,2030060,0.821035646
1,2030061,0.343144906
1,2030062,0.197823065
1,2030063,0.123637747
1,2030064,0.37409633
1,2030065,0.395445935
1,2030066,0.557478715
1,2030067,0.457130233
1,2030068,0.567189823
1,2030069,0.508709171
1,2030070,0.406796949
1,2030071,0.348902995
1,2030072,0.296256355
1,2030073,0.286622563
1,2030074,0.2949284
1,2030075,0.191712691
1,2030076,0.4016742
1,2030077,0.298663135
1,2030078,0.349347871
1,2030079,0.461247562
1,2030080,0.642111948
1,2030081,0.74924924
1,2030082,0.790565602
1,2030083,0.84996453
1,2030084,0.815890283
1,2030085,0.716719898
1,2030086,0.677653102
1,2030087,0.728624783
1,2030088,0.875153416
1,2030089,0.814510343
1,2030090,0.847178277
1,2030091,0.912987554
1,2030092,0.924413225
1,2030093,0.875411122
1,2030094,0.822542258
1,2030095,0.933731001
1,2030096,0.863466192
1,2030097,0.792741486
1,2030098,0.612199659
1,2030099,0.490328252
1,2030100,0.348558483
1,2030101,0.418238007
1,2030102,0.729124347
1,2030103,0.836933584
1,2030104,0.927645191
1,2030105,0.985983918
1,2030106,0.945858471
1,2030107,0.920757789
1,2030108,0.835164882
1,2030109,0.723758294
1,2030110,0.669129248
1,2030111,0.82594068
1,2030112,0.930453621
1,2030113,0.979772791
1,2030114,0.993885349
1,2030115,1
1,2030116,0.998449096
1,2030117,0.944227401
1,2030118,0.904075093
1,2030119,0.772301043
