stage_id,timepoint,cap_factor
1,203001,0.756612343
1,203002,0.593509536
1,203003,0.324333532
1,203004,0.289637267
1,203005,0.481053411
1,203006,0.411259991
1,203007,0.349576111
1,203008,0.458565958
1,203009,0.59994827
1,203010,0.441912711
1,203011,0.533886306
1,203012,0.610096155
1,2030001,0.840716091
1,2030002,0.805243962
1,2030003,0.761094338
1,2030004,0.790377439
1,2030005,0.81161664
1,2030006,0.780047088
1,2030007,0.822112277
1,2030008,0.801772964
1,2030009,0.834848452
1,2030010,0.756493888
1,2030011,0.801671956
1,2030012,0.794886063
1,2030013,0.790276431
1,2030014,0.799725259
1,2030015,0.795088079
1,2030016,0.757751895
1,2030017,0.692060046
1,2030018,0.663787024
1,2030019,0.679599348
1,2030020,0.682418386
1,2030021,0.684695654
1,2030022,0.693786363
1,2030023,0.696678861
1,2030024,0.713932843
1,2030025,0.756328603
1,2030026,0.716797793
1,2030027,0.735392425
1,2030028,0.762196242
1,2030029,0.740966223
1,2030030,0.736007655
1,2030031,0.673281764
1,2030032,0.713133962
1,2030033,0.7636379
1,2030034,0.753729945
1,2030035,0.711729035
1,2030036,0.776906661
1,2030037,0.763867463
1,2030038,0.751590415
1,2030039,0.731140912
1,2030040,0.671693186
1,2030041,0.699984573
1,2030042,0.669682211
1,2030043,0.742903738
1,2030044,0.636974024
1,2030045,0.599766396
1,2030046,0.556268732
1,2030047,0.520144643
1,2030048,0.522155618
1,2030049,0.515590106
1,2030050,0.478226375
1,2030051,0.521108809
1,2030052,0.510310149
1,2030053,0.470962991
1,2030054,0.454875191
1,2030055,0.449530956
1,2030056,0.408540124
1,2030057,0.5110723
1,2030058,0.532146215
1,2030059,0.454746635
1,2030060,0.448732076
1,2030061,0.384362512
1,2030062,0.356768997
1,2030063,0.366557578
1,2030064,0.36956945
1,2030065,0.381488379
1,2030066,0.390827016
1,2030067,0.359725773
1,2030068,0.450311472
1,2030069,0.398283233
1,2030070,0.394564307
1,2030071,0.46795112
1,2030072,0.374950414
1,2030073,0.379596777
1,2030074,0.405271142
1,2030075,0.374050526
1,2030076,0.348780192
1,2030077,0.342049395
1,2030078,0.330158013
1,2030079,0.290030339
1,2030080,0.232318112
1,2030081,0.197011269
1,2030082,0.212291006
1,2030083,0.278671544
1,2030084,0.279534703
1,2030085,0.343004378
1,2030086,0.283161804
1,2030087,0.240095719
1,2030088,0.205707129
1,2030089,0.206276446
1,2030090,0.248093706
1,2030091,0.222906015
1,2030092,0.188554155
1,2030093,0.178701296
1,2030094,0.210123927
1,2030095,0.210794253
1,2030096,0.244062573
1,2030097,0.253171647
1,2030098,0.219545207
1,2030099,0.231280486
1,2030100,0.246679596
1,2030101,0.218314748
1,2030102,0.182007008
1,2030103,0.235908483
1,2030104,0.268699313
1,2030105,0.221547
1,2030106,0.169849333
1,2030107,0.170813499
1,2030108,0.206175438
1,2030109,0.222869285
1,2030110,0.204366479
1,2030111,0.211877792
1,2030112,0.317320831
1,2030113,0.194871738
1,2030114,0.343729798
1,2030115,0.363224318
1,2030116,0.358688147
1,2030117,0.460127601
1,2030118,0.459934767
1,2030119,0.484066467
1,2030120,0.585781397
1,2030121,0.569904796
