stage_id,timepoint,cap_factor
1,203001,0.146029411
1,203002,0.196258249
1,203003,0.299559217
1,203004,0.456740291
1,203005,0.266662197
1,203006,0.106564907
1,203007,0.046039058
1,203008,0.065601403
1,203009,0.104136695
1,203010,0.077713891
1,203011,0.056716826
1,203012,0.073006856
1,2030001,0.112801953
1,2030002,0.140032714
1,2030003,0.153030035
1,2030004,0.157906053
1,2030005,0.175912589
1,2030006,0.164133961
1,2030007,0.165444772
1,2030008,0.065559226
1,2030009,0.081179413
1,2030010,0.125839108
1,2030011,0.103081037
1,2030012,0.07487806
1,2030013,0.062113523
1,2030014,0.130684005
1,2030015,0.152446207
1,2030016,0.194989682
1,2030017,0.205819745
1,2030018,0.208445102
1,2030019,0.197540349
1,2030020,0.212355128
1,2030021,0.212365087
1,2030022,0.200403469
1,2030023,0.16459704
1,2030024,0.184900296
1,2030025,0.185766701
1,2030026,0.097827834
1,2030027,0.121276788
1,2030028,0.109371188
1,2030029,0.125186814
1,2030030,0.09499445
1,2030031,0.095170804
1,2030032,0.120200943
1,2030033,0.100336446
1,2030034,0.064269129
1,2030035,0.090928161
1,2030036,0.113251159
1,2030037,0.206916782
1,2030038,0.159090624
1,2030039,0.136013218
1,2030040,0.123466007
1,2030041,0.10496721
1,2030042,0.086180961
1,2030043,0.101481402
1,2030044,0.160826251
1,2030045,0.268070031
1,2030046,0.187274243
1,2030047,0.182193502
1,2030048,0.203749961
1,2030049,0.263924418
1,2030050,0.204603826
1,2030051,0.201240519
1,2030052,0.155160904
1,2030053,0.154067495
1,2030054,0.205446776
1,2030055,0.205459511
1,2030056,0.259607789
1,2030057,0.391779826
1,2030058,0.392086684
1,2030059,0.491595949
1,2030060,0.461869551
1,2030061,0.19277565
1,2030062,0.111135177
1,2030063,0.069458548
1,2030064,0.210163874
1,2030065,0.222157886
1,2030066,0.313186411
1,2030067,0.256811557
1,2030068,0.319490827
1,2030069,0.285788129
1,2030070,0.228534781
1,2030071,0.196010491
1,2030072,0.166434093
1,2030073,0.161021917
1,2030074,0.16568806
1,2030075,0.107702425
1,2030076,0.225656868
1,2030077,0.1677862
1,2030078,0.196260418
1,2030079,0.259124634
1,2030080,0.360732582
1,2030081,0.420921326
1,2030082,0.446220218
1,2030083,0.477734802
1,2030084,0.464537391
1,2030085,0.402646641
1,2030086,0.380699275
1,2030087,0.409334696
1,2030088,0.491714486
1,2030089,0.457584413
1,2030090,0.476124021
1,2030091,0.53611436
1,2030092,0.536729427
1,2030093,0.496013149
1,2030094,0.464275745
1,2030095,0.533849948
1,2030096,0.48974663
1,2030097,0.44535487
1,2030098,0.343928133
1,2030099,0.275461899
1,2030100,0.195816947
1,2030101,0.234962263
1,2030102,0.409700582
1,2030103,0.470214825
1,2030104,0.521258108
1,2030105,0.573413692
1,2030106,0.549071819
1,2030107,0.517523822
1,2030108,0.469187943
1,2030109,0.406600748
1,2030110,0.375910652
1,2030111,0.464005871
1,2030112,0.535880191
1,2030113,0.588595948
1,2030114,0.605711888
1,2030115,0.638481745
1,2030116,0.621875842
1,2030117,0.559059625
1,2030118,0.519162872
1,2030119,0.433871617
1,2030120,0.351652961
1,2030121,0.286368266
1,2030122,0.245260986
1,2030123,0.287776876
1,2030124,0.337864354
1,2030125,0.408847834
1,2030126,0.432143993
1,2030127,0.342380781
1,2030128,0.22985355
1,2030129,0.181215014
1,2030130,0.197751895
1,2030131,0.20576717
1,2030132,0.18750483
1,2030133,0.205309997
1,2030134,0.323330678
1,2030135,0.329389449
1,2030136,0.150445552
1,2030137,0.121739513
1,2030138,0.191013509
1,2030139,0.223966833
1,2030140,0.192816393
1,2030141,0.319084622
1,2030142,0.484233447
1,2030143,0.259416174
1,2030144,0.19961254
1,2030145,0.167099184
1,2030146,0.25730605
1,2030147,0.289421223
1,2030148,0.270325649
1,2030149,0.247158531
1,2030150,0.228736426
1,2030151,0.358284748
1,2030152,0.397161657
1,2030153,0.23956962
1,2030154,0.183064159
1,2030155,0.143309193
1,2030156,0.175440447
1,2030157,0.067689328
1,2030158,0.083862042
1,2030159,0.037276297
1,2030160,0.060988498
1,2030161,0.033379011
1,2030162,0.02183876
1,2030163,0.027398921
1,2030164,0.07635745
1,2030165,0.052832954
1,2030166,0.036378682
1,2030167,0.041654878
1,2030168,0.046660346
1,2030169,0.07267434
1,2030170,0.121471636
1,2030171,0.306177011
1,2030172,0.333301594
1,2030173,0.349122964
1,2030174,0.217225275
1,2030175,0.206174742
1,2030176,0.072985979
1,2030177,0.056814467
1,2030178,0.062958198
1,2030179,0.052635624
1,2030180,0.061047457
1,2030181,0.068603788
1,2030182,0.068802322
1,2030183,0.058820839
1,2030184,0.062224485
1,2030185,0.063284972
1,2030186,0.032611201
1,2030187,0.054814266
1,2030188,0.05816488
1,2030189,0.037198651
1,2030190,0.056346215
1,2030191,0.02727997
1,2030192,0.037545349
1,2030193,0.029156218
1,2030194,0.039888259
1,2030195,0.015721372
1,2030196,0.024557972
1,2030197,0.021269739
1,2030198,0.019753386
1,2030199,0.012632282
1,2030200,0.045477414
1,2030201,0.054923434
1,2030202,0.040863572
1,2030203,0.039641132
1,2030204,0.08248892
1,2030205,0.096224877
1,2030206,0.070485253
1,2030207,0.054038094
1,2030208,0.043897479
1,2030209,0.060434611
1,2030210,0.020240442
1,2030211,0.020697508
1,2030212,0.048452538
1,2030213,0.080973766
1,2030214,0.075922549
1,2030215,0.060502269
1,2030216,0.059387602
1,2030217,0.198478268
1,2030218,0.238067083
1,2030219,0.176228715
1,2030220,0.09390975
1,2030221,0.044764323
1,2030222,0.037143054
1,2030223,0.032192732
1,2030224,0.062438862
1,2030225,0.086269715
1,2030226,0.045822694
1,2030227,0.0241311
1,2030228,0.024192401
1,2030229,0.044471582
