stage_id,timepoint,cap_factor
1,203001,0.287952661
1,203002,0.273772826
1,203003,0.217306713
1,203004,0.190640415
1,203005,0.194906155
1,203006,0.251445863
1,203007,0.278082232
1,203008,0.278162834
1,203009,0.275873647
1,203010,0.286596973
1,203011,0.30807966
1,203012,0.305359738
1,2030001,0.302786393
1,2030002,0.312046559
1,2030003,0.30613617
1,2030004,0.302293544
1,2030005,0.29211838
1,2030006,0.28808644
1,2030007,0.272814322
1,2030008,0.263415478
1,2030009,0.291357985
1,2030010,0.291250341
1,2030011,0.297414753
1,2030012,0.293596334
1,2030013,0.299814762
1,2030014,0.304267707
1,2030015,0.291558079
1,2030016,0.285357722
1,2030017,0.275391376
1,2030018,0.273274808
1,2030019,0.242190188
1,2030020,0.236269541
1,2030021,0.297578785
1,2030022,0.299868658
1,2030023,0.29598122
1,2030024,0.303285111
1,2030025,0.300785606
1,2030026,0.282518723
1,2030027,0.262240886
1,2030028,0.293595998
1,2030029,0.285476704
1,2030030,0.295807264
1,2030031,0.270533714
1,2030032,0.274096015
1,2030033,0.249096703
1,2030034,0.272413061
1,2030035,0.263113451
1,2030036,0.283901316
1,2030037,0.274182572
1,2030038,0.274257845
1,2030039,0.279083724
1,2030040,0.293642198
1,2030041,0.29789969
1,2030042,0.299154708
1,2030043,0.29779365
1,2030044,0.297936277
1,2030045,0.296010983
1,2030046,0.275547083
1,2030047,0.28562151
1,2030048,0.275360969
1,2030049,0.271430405
1,2030050,0.249082666
1,2030051,0.271543734
1,2030052,0.268410484
1,2030053,0.276399981
1,2030054,0.282641624
1,2030055,0.281946954
1,2030056,0.241043123
1,2030057,0.235111114
1,2030058,0.272533673
1,2030059,0.274138028
1,2030060,0.249453943
1,2030061,0.2535764
1,2030062,0.213508986
1,2030063,0.234135456
1,2030064,0.243532657
1,2030065,0.258985241
1,2030066,0.288303942
1,2030067,0.283224793
1,2030068,0.268387797
1,2030069,0.27731376
1,2030070,0.263676619
1,2030071,0.250009978
1,2030072,0.257456492
1,2030073,0.251327318
1,2030074,0.209744071
1,2030075,0.218611641
1,2030076,0.244529984
1,2030077,0.22339764
1,2030078,0.227401368
1,2030079,0.218057987
1,2030080,0.197468917
1,2030081,0.178008648
1,2030082,0.197480722
1,2030083,0.192361423
1,2030084,0.165050148
1,2030085,0.118927987
1,2030086,0.167133605
1,2030087,0.159655425
1,2030088,0.185199674
1,2030089,0.200783062
1,2030090,0.178026241
1,2030091,0.147499806
1,2030092,0.186663733
1,2030093,0.153917293
1,2030094,0.158294844
1,2030095,0.179748955
1,2030096,0.243047371
1,2030097,0.237526036
1,2030098,0.173247385
1,2030099,0.187623076
1,2030100,0.209570183
1,2030101,0.193494013
1,2030102,0.184412086
1,2030103,0.1965934
1,2030104,0.194921858
1,2030105,0.209549787
1,2030106,0.189329291
1,2030107,0.194423555
1,2030108,0.202354973
1,2030109,0.218302443
1,2030110,0.216082145
1,2030111,0.17864725
1,2030112,0.187846441
1,2030113,0.167956972
1,2030114,0.197977666
