subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,linked_timepoint,month,hour_of_day,timestamp,horizon_year
1,1,2030001,2030,24,1,,0,,4,1,01-04-2029 00:00,2030
1,1,2030002,2030,24,1,,0,,4,1,02-04-2029 00:00,2030
1,1,2030003,2030,24,1,,0,,4,1,03-04-2029 00:00,2030
1,1,2030004,2030,24,1,,0,,4,1,04-04-2029 00:00,2030
1,1,2030005,2030,24,1,,0,,4,1,05-04-2029 00:00,2030
1,1,2030006,2030,24,1,,0,,4,1,06-04-2029 00:00,2030
1,1,2030007,2030,24,1,,0,,4,1,07-04-2029 00:00,2030
1,1,2030008,2030,24,1,,0,,4,1,08-04-2029 00:00,2030
1,1,2030009,2030,24,1,,0,,4,1,09-04-2029 00:00,2030
1,1,2030010,2030,24,1,,0,,4,1,10-04-2029 00:00,2030
1,1,2030011,2030,24,1,,0,,4,1,11-04-2029 00:00,2030
1,1,2030012,2030,24,1,,0,,4,1,12-04-2029 00:00,2030
1,1,2030013,2030,24,1,,0,,4,1,13-04-2029 00:00,2030
1,1,2030014,2030,24,1,,0,,4,1,14-04-2029 00:00,2030
1,1,2030015,2030,24,1,,0,,4,1,15-04-2029 00:00,2030
1,1,2030016,2030,24,1,,0,,4,1,16-04-2029 00:00,2030
1,1,2030017,2030,24,1,,0,,4,1,17-04-2029 00:00,2030
1,1,2030018,2030,24,1,,0,,4,1,18-04-2029 00:00,2030
1,1,2030019,2030,24,1,,0,,4,1,19-04-2029 00:00,2030
1,1,2030020,2030,24,1,,0,,4,1,20-04-2029 00:00,2030
1,1,2030021,2030,24,1,,0,,4,1,21-04-2029 00:00,2030
1,1,2030022,2030,24,1,,0,,4,1,22-04-2029 00:00,2030
1,1,2030023,2030,24,1,,0,,4,1,23-04-2029 00:00,2030
1,1,2030024,2030,24,1,,0,,4,1,24-04-2029 00:00,2030
1,1,2030025,2030,24,1,,0,,4,1,25-04-2029 00:00,2030
1,1,2030026,2030,24,1,,0,,4,1,26-04-2029 00:00,2030
1,1,2030027,2030,24,1,,0,,4,1,27-04-2029 00:00,2030
1,1,2030028,2030,24,1,,0,,4,1,28-04-2029 00:00,2030
1,1,2030029,2030,24,1,,0,,4,1,29-04-2029 00:00,2030
1,1,2030030,2030,24,1,,0,,4,1,30-04-2029 00:00,2030
1,1,2030031,2030,24,1,,0,,5,1,01-05-2029 00:00,2030
1,1,2030032,2030,24,1,,0,,5,1,02-05-2029 00:00,2030
1,1,2030033,2030,24,1,,0,,5,1,03-05-2029 00:00,2030
1,1,2030034,2030,24,1,,0,,5,1,04-05-2029 00:00,2030
1,1,2030035,2030,24,1,,0,,5,1,05-05-2029 00:00,2030
1,1,2030036,2030,24,1,,0,,5,1,06-05-2029 00:00,2030
1,1,2030037,2030,24,1,,0,,5,1,07-05-2029 00:00,2030
1,1,2030038,2030,24,1,,0,,5,1,08-05-2029 00:00,2030
1,1,2030039,2030,24,1,,0,,5,1,09-05-2029 00:00,2030
1,1,2030040,2030,24,1,,0,,5,1,10-05-2029 00:00,2030
1,1,2030041,2030,24,1,,0,,5,1,11-05-2029 00:00,2030
1,1,2030042,2030,24,1,,0,,5,1,12-05-2029 00:00,2030
1,1,2030043,2030,24,1,,0,,5,1,13-05-2029 00:00,2030
1,1,2030044,2030,24,1,,0,,5,1,14-05-2029 00:00,2030
1,1,2030045,2030,24,1,,0,,5,1,15-05-2029 00:00,2030
1,1,2030046,2030,24,1,,0,,5,1,16-05-2029 00:00,2030
1,1,2030047,2030,24,1,,0,,5,1,17-05-2029 00:00,2030
1,1,2030048,2030,24,1,,0,,5,1,18-05-2029 00:00,2030
1,1,2030049,2030,24,1,,0,,5,1,19-05-2029 00:00,2030
1,1,2030050,2030,24,1,,0,,5,1,20-05-2029 00:00,2030
1,1,2030051,2030,24,1,,0,,5,1,21-05-2029 00:00,2030
1,1,2030052,2030,24,1,,0,,5,1,22-05-2029 00:00,2030
1,1,2030053,2030,24,1,,0,,5,1,23-05-2029 00:00,2030
1,1,2030054,2030,24,1,,0,,5,1,24-05-2029 00:00,2030
1,1,2030055,2030,24,1,,0,,5,1,25-05-2029 00:00,2030
1,1,2030056,2030,24,1,,0,,5,1,26-05-2029 00:00,2030
1,1,2030057,2030,24,1,,0,,5,1,27-05-2029 00:00,2030
1,1,2030058,2030,24,1,,0,,5,1,28-05-2029 00:00,2030
1,1,2030059,2030,24,1,,0,,5,1,29-05-2029 00:00,2030
1,1,2030060,2030,24,1,,0,,5,1,30-05-2029 00:00,2030
