balancing_type_project,horizon,period,average_power_fraction,min_power_fraction,max_power_fraction
year,2030,2030,0.316438356,0,0.722826087
month,203001,2030,0.247252747,0.082417582,0.247252747
month,203002,2030,0.247252747,0.082417582,0.247252747
month,203003,2030,0.210700687,0.082417582,0.247252747
month,203004,2030,0.139867354,0.097826087,0.722826087
month,203005,2030,0.171324665,0.097826087,0.722826087
month,203006,2030,0.251673351,0.097826087,0.722826087
month,203007,2030,0.308345615,0.266304348,0.570652174
month,203008,2030,0.570652174,0.266304348,0.570652174
month,203009,2030,0.308345615,0.266304348,0.570652174
month,203010,2030,0.368713432,0,0.505555556
month,203011,2030,0.486563978,0,0.505555556
month,203012,2030,0.505555556,0,0.505555556
day,2030001,2030,0.247252747,0,1
day,2030002,2030,0.247252747,0,1
day,2030003,2030,0.247252747,0,1
day,2030004,2030,0.247252747,0,1
day,2030005,2030,0.247252747,0,1
day,2030006,2030,0.247252747,0,1
day,2030007,2030,0.247252747,0,1
day,2030008,2030,0.247252747,0,1
day,2030009,2030,0.247252747,0,1
day,2030010,2030,0.247252747,0,1
day,2030011,2030,0.247252747,0,1
day,2030012,2030,0.247252747,0,1
day,2030013,2030,0.247252747,0,1
day,2030014,2030,0.247252747,0,1
day,2030015,2030,0.247252747,0,1
day,2030016,2030,0.247252747,0,1
day,2030017,2030,0.247252747,0,1
day,2030018,2030,0.247252747,0,1
day,2030019,2030,0.247252747,0,1
day,2030020,2030,0.247252747,0,1
day,2030021,2030,0.247252747,0,1
day,2030022,2030,0.247252747,0,1
day,2030023,2030,0.247252747,0,1
day,2030024,2030,0.247252747,0,1
day,2030025,2030,0.247252747,0,1
day,2030026,2030,0.247252747,0,1
day,2030027,2030,0.247252747,0,1
day,2030028,2030,0.247252747,0,1
day,2030029,2030,0.247252747,0,1
day,2030030,2030,0.247252747,0,1
day,2030031,2030,0.247252747,0,1
day,2030032,2030,0.247252747,0,1
day,2030033,2030,0.247252747,0,1
day,2030034,2030,0.247252747,0,1
day,2030035,2030,0.247252747,0,1
day,2030036,2030,0.247252747,0,1
day,2030037,2030,0.082417582,0,1
day,2030038,2030,0.082417582,0,1
day,2030039,2030,0.247252747,0,1
day,2030040,2030,0.247252747,0,1
day,2030041,2030,0.247252747,0,1
day,2030042,2030,0.247252747,0,1
day,2030043,2030,0.247252747,0,1
day,2030044,2030,0.082417582,0,1
day,2030045,2030,0.082417582,0,1
day,2030046,2030,0.082417582,0,1
day,2030047,2030,0.082417582,0,1
day,2030048,2030,0.082417582,0,1
day,2030049,2030,0.082417582,0,1
day,2030050,2030,0.108871586,0,1
day,2030051,2030,0.082417582,0,1
day,2030052,2030,0.247252747,0,1
day,2030053,2030,0.247252747,0,1
day,2030054,2030,0.082417582,0,1
day,2030055,2030,0.082417582,0,1
day,2030056,2030,0.082417582,0,1
day,2030057,2030,0.082417582,0,1
day,2030058,2030,0.082417582,0,1
day,2030059,2030,0.082417582,0,1
day,2030060,2030,0.082417582,0,1
day,2030061,2030,0.082417582,0,1
