stage_id,timepoint,availability_derate
1,203001,0.208333333
1,203002,0.208333333
1,203003,0.208333333
1,203004,0.208333333
1,203005,0.208333333
1,203006,0.208333333
1,203007,0.208333333
1,203008,0.208333333
1,203009,0.208333333
1,203010,0.208333333
1,203011,0.208333333
1,203012,0.208333333
1,2030001,0.208333333
1,2030002,0.208333333
1,2030003,0.208333333
1,2030004,0.208333333
1,2030005,0.208333333
1,2030006,0.208333333
1,2030007,0.208333333
1,2030008,0.208333333
1,2030009,0.208333333
1,2030010,0.208333333
1,2030011,0.208333333
1,2030012,0.208333333
1,2030013,0.208333333
1,2030014,0.208333333
1,2030015,0.208333333
1,2030016,0.208333333
1,2030017,0.208333333
1,2030018,0.208333333
1,2030019,0.208333333
1,2030020,0.208333333
1,2030021,0.208333333
1,2030022,0.208333333
1,2030023,0.208333333
1,2030024,0.208333333
1,2030025,0.208333333
1,2030026,0.208333333
1,2030027,0.208333333
1,2030028,0.208333333
1,2030029,0.208333333
1,2030030,0.208333333
1,2030031,0.208333333
1,2030032,0.208333333
1,2030033,0.208333333
1,2030034,0.208333333
1,2030035,0.208333333
1,2030036,0.208333333
1,2030037,0.208333333
1,2030038,0.208333333
1,2030039,0.208333333
1,2030040,0.208333333
1,2030041,0.208333333
1,2030042,0.208333333
1,2030043,0.208333333
1,2030044,0.208333333
1,2030045,0.208333333
1,2030046,0.208333333
1,2030047,0.208333333
1,2030048,0.208333333
1,2030049,0.208333333
1,2030050,0.208333333
1,2030051,0.208333333
1,2030052,0.208333333
1,2030053,0.208333333
1,2030054,0.208333333
1,2030055,0.208333333
1,2030056,0.208333333
1,2030057,0.208333333
1,2030058,0.208333333
1,2030059,0.208333333
1,2030060,0.208333333
1,2030061,0.208333333
1,2030062,0.208333333
1,2030063,0.208333333
1,2030064,0.208333333
1,2030065,0.208333333
1,2030066,0.208333333
1,2030067,0.208333333
1,2030068,0.208333333
1,2030069,0.208333333
1,2030070,0.208333333
1,2030071,0.208333333
1,2030072,0.208333333
1,2030073,0.208333333
1,2030074,0.208333333
1,2030075,0.208333333
1,2030076,0.208333333
1,2030077,0.208333333
1,2030078,0.208333333
1,2030079,0.208333333
1,2030080,0.208333333
1,2030081,0.208333333
1,2030082,0.208333333
1,2030083,0.208333333
1,2030084,0.208333333
1,2030085,0.208333333
1,2030086,0.208333333
1,2030087,0.208333333
1,2030088,0.208333333
1,2030089,0.208333333
1,2030090,0.208333333
1,2030091,0.208333333
1,2030092,0.208333333
1,2030093,0.208333333
1,2030094,0.208333333
1,2030095,0.208333333
1,2030096,0.208333333
1,2030097,0.208333333
1,2030098,0.208333333
1,2030099,0.208333333
1,2030100,0.208333333
1,2030101,0.208333333
1,2030102,0.208333333
1,2030103,0.208333333
