subproblem_id,stage_id,balancing_type_horizon,horizon,tmp_start,tmp_end
1,1,day,2030001,203000101,203000296
2,1,day,2030002,203000201,203000396
3,1,day,2030003,203000301,203000496
4,1,day,2030004,203000401,203000596
5,1,day,2030005,203000501,203000696
6,1,day,2030006,203000601,203000796
7,1,day,2030007,203000701,203000896
8,1,day,2030008,203000801,203000996
9,1,day,2030009,203000901,203001096
10,1,day,2030010,203001001,203001196
11,1,day,2030011,203001101,203001296
12,1,day,2030012,203001201,203001396
13,1,day,2030013,203001301,203001496
14,1,day,2030014,203001401,203001596
15,1,day,2030015,203001501,203001696
16,1,day,2030016,203001601,203001796
17,1,day,2030017,203001701,203001896
18,1,day,2030018,203001801,203001996
19,1,day,2030019,203001901,203002096
20,1,day,2030020,203002001,203002196
21,1,day,2030021,203002101,203002296
22,1,day,2030022,203002201,203002396
23,1,day,2030023,203002301,203002496
24,1,day,2030024,203002401,203002596
25,1,day,2030025,203002501,203002696
26,1,day,2030026,203002601,203002796
27,1,day,2030027,203002701,203002896
28,1,day,2030028,203002801,203002996
29,1,day,2030029,203002901,203003096
30,1,day,2030030,203003001,203003196
31,1,day,2030031,203003101,203003296
32,1,day,2030032,203003201,203003396
33,1,day,2030033,203003301,203003496
34,1,day,2030034,203003401,203003596
35,1,day,2030035,203003501,203003696
36,1,day,2030036,203003601,203003796
37,1,day,2030037,203003701,203003896
38,1,day,2030038,203003801,203003996
39,1,day,2030039,203003901,203004096
40,1,day,2030040,203004001,203004196
41,1,day,2030041,203004101,203004296
42,1,day,2030042,203004201,203004396
43,1,day,2030043,203004301,203004496
44,1,day,2030044,203004401,203004596
45,1,day,2030045,203004501,203004696
46,1,day,2030046,203004601,203004796
47,1,day,2030047,203004701,203004896
48,1,day,2030048,203004801,203004996
49,1,day,2030049,203004901,203005096
50,1,day,2030050,203005001,203005196
51,1,day,2030051,203005101,203005296
52,1,day,2030052,203005201,203005396
53,1,day,2030053,203005301,203005496
54,1,day,2030054,203005401,203005596
55,1,day,2030055,203005501,203005696
56,1,day,2030056,203005601,203005796
57,1,day,2030057,203005701,203005896
58,1,day,2030058,203005801,203005996
59,1,day,2030059,203005901,203006096
60,1,day,2030060,203006001,203006196
61,1,day,2030061,203006101,203006296
62,1,day,2030062,203006201,203006396
63,1,day,2030063,203006301,203006496
64,1,day,2030064,203006401,203006596
65,1,day,2030065,203006501,203006696
66,1,day,2030066,203006601,203006796
67,1,day,2030067,203006701,203006896
68,1,day,2030068,203006801,203006996
69,1,day,2030069,203006901,203007096
70,1,day,2030070,203007001,203007196
71,1,day,2030071,203007101,203007296
72,1,day,2030072,203007201,203007396
73,1,day,2030073,203007301,203007496
74,1,day,2030074,203007401,203007596
75,1,day,2030075,203007501,203007696
76,1,day,2030076,203007601,203007796
77,1,day,2030077,203007701,203007896
78,1,day,2030078,203007801,203007996
79,1,day,2030079,203007901,203008096
80,1,day,2030080,203008001,203008196
81,1,day,2030081,203008101,203008296
82,1,day,2030082,203008201,203008396
83,1,day,2030083,203008301,203008496
84,1,day,2030084,203008401,203008596
85,1,day,2030085,203008501,203008696
86,1,day,2030086,203008601,203008796
87,1,day,2030087,203008701,203008896
88,1,day,2030088,203008801,203008996
89,1,day,2030089,203008901,203009096
90,1,day,2030090,203009001,203009196
91,1,day,2030091,203009101,203009296
92,1,day,2030092,203009201,203009396
93,1,day,2030093,203009301,203009496
94,1,day,2030094,203009401,203009596
95,1,day,2030095,203009501,203009696
96,1,day,2030096,203009601,203009796
97,1,day,2030097,203009701,203009896
98,1,day,2030098,203009801,203009996
99,1,day,2030099,203009901,203010096
100,1,day,2030100,203010001,203010196
101,1,day,2030101,203010101,203010296
102,1,day,2030102,203010201,203010396
103,1,day,2030103,203010301,203010496
104,1,day,2030104,203010401,203010596
105,1,day,2030105,203010501,203010696
106,1,day,2030106,203010601,203010796
107,1,day,2030107,203010701,203010896
108,1,day,2030108,203010801,203010996
109,1,day,2030109,203010901,203011096
110,1,day,2030110,203011001,203011196
111,1,day,2030111,203011101,203011296
112,1,day,2030112,203011201,203011396
113,1,day,2030113,203011301,203011496
114,1,day,2030114,203011401,203011596
115,1,day,2030115,203011501,203011696
116,1,day,2030116,203011601,203011796
117,1,day,2030117,203011701,203011896
118,1,day,2030118,203011801,203011996
119,1,day,2030119,203011901,203012096
120,1,day,2030120,203012001,203012196
121,1,day,2030121,203012101,203012296
122,1,day,2030122,203012201,203012396
123,1,day,2030123,203012301,203012496
124,1,day,2030124,203012401,203012596
125,1,day,2030125,203012501,203012696
126,1,day,2030126,203012601,203012796
127,1,day,2030127,203012701,203012896
128,1,day,2030128,203012801,203012996
129,1,day,2030129,203012901,203013096
130,1,day,2030130,203013001,203013196
131,1,day,2030131,203013101,203013296
132,1,day,2030132,203013201,203013396
133,1,day,2030133,203013301,203013496
134,1,day,2030134,203013401,203013596
135,1,day,2030135,203013501,203013696
136,1,day,2030136,203013601,203013796
137,1,day,2030137,203013701,203013896
138,1,day,2030138,203013801,203013996
139,1,day,2030139,203013901,203014096
140,1,day,2030140,203014001,203014196
141,1,day,2030141,203014101,203014296
142,1,day,2030142,203014201,203014396
143,1,day,2030143,203014301,203014496
144,1,day,2030144,203014401,203014596
145,1,day,2030145,203014501,203014696
146,1,day,2030146,203014601,203014796
147,1,day,2030147,203014701,203014896
148,1,day,2030148,203014801,203014996
149,1,day,2030149,203014901,203015096
150,1,day,2030150,203015001,203015196
151,1,day,2030151,203015101,203015296
152,1,day,2030152,203015201,203015396
153,1,day,2030153,203015301,203015496
154,1,day,2030154,203015401,203015596
155,1,day,2030155,203015501,203015696
156,1,day,2030156,203015601,203015796
157,1,day,2030157,203015701,203015896
158,1,day,2030158,203015801,203015996
159,1,day,2030159,203015901,203016096
160,1,day,2030160,203016001,203016196
161,1,day,2030161,203016101,203016296
162,1,day,2030162,203016201,203016396
163,1,day,2030163,203016301,203016496
164,1,day,2030164,203016401,203016596
165,1,day,2030165,203016501,203016696
166,1,day,2030166,203016601,203016796
167,1,day,2030167,203016701,203016896
168,1,day,2030168,203016801,203016996
169,1,day,2030169,203016901,203017096
170,1,day,2030170,203017001,203017196
171,1,day,2030171,203017101,203017296
172,1,day,2030172,203017201,203017396
173,1,day,2030173,203017301,203017496
174,1,day,2030174,203017401,203017596
175,1,day,2030175,203017501,203017696
176,1,day,2030176,203017601,203017796
177,1,day,2030177,203017701,203017896
178,1,day,2030178,203017801,203017996
179,1,day,2030179,203017901,203018096
180,1,day,2030180,203018001,203018196
181,1,day,2030181,203018101,203018296
182,1,day,2030182,203018201,203018396
183,1,day,2030183,203018301,203018496
184,1,day,2030184,203018401,203018596
185,1,day,2030185,203018501,203018696
186,1,day,2030186,203018601,203018796
187,1,day,2030187,203018701,203018896
188,1,day,2030188,203018801,203018996
189,1,day,2030189,203018901,203019096
190,1,day,2030190,203019001,203019196
191,1,day,2030191,203019101,203019296
192,1,day,2030192,203019201,203019396
193,1,day,2030193,203019301,203019496
194,1,day,2030194,203019401,203019596
195,1,day,2030195,203019501,203019696
196,1,day,2030196,203019601,203019796
197,1,day,2030197,203019701,203019896
198,1,day,2030198,203019801,203019996
199,1,day,2030199,203019901,203020096
200,1,day,2030200,203020001,203020196
201,1,day,2030201,203020101,203020296
202,1,day,2030202,203020201,203020396
203,1,day,2030203,203020301,203020496
204,1,day,2030204,203020401,203020596
205,1,day,2030205,203020501,203020696
206,1,day,2030206,203020601,203020796
207,1,day,2030207,203020701,203020896
208,1,day,2030208,203020801,203020996
209,1,day,2030209,203020901,203021096
210,1,day,2030210,203021001,203021196
211,1,day,2030211,203021101,203021296
212,1,day,2030212,203021201,203021396
213,1,day,2030213,203021301,203021496
214,1,day,2030214,203021401,203021596
215,1,day,2030215,203021501,203021696
216,1,day,2030216,203021601,203021796
217,1,day,2030217,203021701,203021896
218,1,day,2030218,203021801,203021996
