subproblem_id,stage_id,balancing_type_horizon,horizon,tmp_start,tmp_end
219,1,day,2030219,203021901,203022096
220,1,day,2030220,203022001,203022196
221,1,day,2030221,203022101,203022296
222,1,day,2030222,203022201,203022396
223,1,day,2030223,203022301,203022496
224,1,day,2030224,203022401,203022596
225,1,day,2030225,203022501,203022696
226,1,day,2030226,203022601,203022796
227,1,day,2030227,203022701,203022896
228,1,day,2030228,203022801,203022996
229,1,day,2030229,203022901,203023096
230,1,day,2030230,203023001,203023196
231,1,day,2030231,203023101,203023296
232,1,day,2030232,203023201,203023396
233,1,day,2030233,203023301,203023496
234,1,day,2030234,203023401,203023596
235,1,day,2030235,203023501,203023696
236,1,day,2030236,203023601,203023796
237,1,day,2030237,203023701,203023896
238,1,day,2030238,203023801,203023996
239,1,day,2030239,203023901,203024096
240,1,day,2030240,203024001,203024196
241,1,day,2030241,203024101,203024296
242,1,day,2030242,203024201,203024396
243,1,day,2030243,203024301,203024496
244,1,day,2030244,203024401,203024596
245,1,day,2030245,203024501,203024696
246,1,day,2030246,203024601,203024796
247,1,day,2030247,203024701,203024896
248,1,day,2030248,203024801,203024996
249,1,day,2030249,203024901,203025096
250,1,day,2030250,203025001,203025196
251,1,day,2030251,203025101,203025296
252,1,day,2030252,203025201,203025396
253,1,day,2030253,203025301,203025496
254,1,day,2030254,203025401,203025596
255,1,day,2030255,203025501,203025696
256,1,day,2030256,203025601,203025796
257,1,day,2030257,203025701,203025896
258,1,day,2030258,203025801,203025996
259,1,day,2030259,203025901,203026096
260,1,day,2030260,203026001,203026196
261,1,day,2030261,203026101,203026296
262,1,day,2030262,203026201,203026396
263,1,day,2030263,203026301,203026496
264,1,day,2030264,203026401,203026596
265,1,day,2030265,203026501,203026696
266,1,day,2030266,203026601,203026796
267,1,day,2030267,203026701,203026896
268,1,day,2030268,203026801,203026996
269,1,day,2030269,203026901,203027096
270,1,day,2030270,203027001,203027196
271,1,day,2030271,203027101,203027296
272,1,day,2030272,203027201,203027396
273,1,day,2030273,203027301,203027496
274,1,day,2030274,203027401,203027596
275,1,day,2030275,203027501,203027696
276,1,day,2030276,203027601,203027796
277,1,day,2030277,203027701,203027896
278,1,day,2030278,203027801,203027996
279,1,day,2030279,203027901,203028096
280,1,day,2030280,203028001,203028196
281,1,day,2030281,203028101,203028296
282,1,day,2030282,203028201,203028396
283,1,day,2030283,203028301,203028496
284,1,day,2030284,203028401,203028596
285,1,day,2030285,203028501,203028696
286,1,day,2030286,203028601,203028796
287,1,day,2030287,203028701,203028896
288,1,day,2030288,203028801,203028996
289,1,day,2030289,203028901,203029096
290,1,day,2030290,203029001,203029196
291,1,day,2030291,203029101,203029296
292,1,day,2030292,203029201,203029396
293,1,day,2030293,203029301,203029496
294,1,day,2030294,203029401,203029596
295,1,day,2030295,203029501,203029696
296,1,day,2030296,203029601,203029796
297,1,day,2030297,203029701,203029896
298,1,day,2030298,203029801,203029996
299,1,day,2030299,203029901,203030096
300,1,day,2030300,203030001,203030196
301,1,day,2030301,203030101,203030296
302,1,day,2030302,203030201,203030396
303,1,day,2030303,203030301,203030496
304,1,day,2030304,203030401,203030596
305,1,day,2030305,203030501,203030696
306,1,day,2030306,203030601,203030796
307,1,day,2030307,203030701,203030896
308,1,day,2030308,203030801,203030996
309,1,day,2030309,203030901,203031096
310,1,day,2030310,203031001,203031196
311,1,day,2030311,203031101,203031296
312,1,day,2030312,203031201,203031396
313,1,day,2030313,203031301,203031496
314,1,day,2030314,203031401,203031596
315,1,day,2030315,203031501,203031696
316,1,day,2030316,203031601,203031796
317,1,day,2030317,203031701,203031896
318,1,day,2030318,203031801,203031996
319,1,day,2030319,203031901,203032096
320,1,day,2030320,203032001,203032196
321,1,day,2030321,203032101,203032296
322,1,day,2030322,203032201,203032396
323,1,day,2030323,203032301,203032496
324,1,day,2030324,203032401,203032596
325,1,day,2030325,203032501,203032696
326,1,day,2030326,203032601,203032796
327,1,day,2030327,203032701,203032896
328,1,day,2030328,203032801,203032996
329,1,day,2030329,203032901,203033096
330,1,day,2030330,203033001,203033196
331,1,day,2030331,203033101,203033296
332,1,day,2030332,203033201,203033396
333,1,day,2030333,203033301,203033496
334,1,day,2030334,203033401,203033596
335,1,day,2030335,203033501,203033696
336,1,day,2030336,203033601,203033796
337,1,day,2030337,203033701,203033896
338,1,day,2030338,203033801,203033996
339,1,day,2030339,203033901,203034096
340,1,day,2030340,203034001,203034196
341,1,day,2030341,203034101,203034296
342,1,day,2030342,203034201,203034396
343,1,day,2030343,203034301,203034496
344,1,day,2030344,203034401,203034596
345,1,day,2030345,203034501,203034696
346,1,day,2030346,203034601,203034796
347,1,day,2030347,203034701,203034896
348,1,day,2030348,203034801,203034996
349,1,day,2030349,203034901,203035096
350,1,day,2030350,203035001,203035196
351,1,day,2030351,203035101,203035296
352,1,day,2030352,203035201,203035396
353,1,day,2030353,203035301,203035496
354,1,day,2030354,203035401,203035596
355,1,day,2030355,203035501,203035696
356,1,day,2030356,203035601,203035796
357,1,day,2030357,203035701,203035896
358,1,day,2030358,203035801,203035996
359,1,day,2030359,203035901,203036096
360,1,day,2030360,203036001,203036196
361,1,day,2030361,203036101,203036296
362,1,day,2030362,203036201,203036396
363,1,day,2030363,203036301,203036496
364,1,day,2030364,203036401,203036596
365,1,day,2030365,203036501,203036596
